Registration Series,Registration Zone / City
TN-11,"Tambaram ,Sholinganallur
TN-12,Poonamalee
TN-15,Ulundurpet / Kallakurichi
TN-16,Tindivanam
TN-18,Ambattur
TN-19,Chengalpattu / Madurantakam
TN-20,Tiruvallur
TN-21,Kanchipuram / Sriperumbudur
TN-22,Meenambakkam
TN-23,Vellore
TN-24,Krishnagiri
TN-25,Thiruvannamalai
TN-28,Namakkal North /Rasipuram
TN-29,Dharmapuri
TN-30,Salem West / Omalur
TN-31,Cuddalore
TN-32,Villupuram
TN-33,Erode
TN-34,Thiruchengode
TN-36,Gobichettipalayam /Bhavani/Sathyamangalam
TN-37,Coimbatore South /Sulur
TN-38,Coimbatore
TN-39,Tiruppur North /Avinashi
TN-40,Mettupalayam
TN-41,Pollachi
TN-42,Tiruppur South /Kangeyam
TN-43,Nilgiris
TN-45,Tiruchirapalli West /Manapparai
TN-46,Perambalur
TN-47,Karur
TN-48,Srirangam /Musiri/Thuraiyur
TN-49,Thanjavur /Pattukottai
TN-50,Tiruvarur
TN-51,Nagapattinam
TN-52,Sankagiri /Mettur
TN-54,Salem
TN-55,Pudukottai
TN-56,Perundurai
TN-57,Dindigul
TN-58,Madurai South /Tirumangalam
TN-59,Madurai North /Melur/Vadipatti
TN-60,Theni
TN-61,Ariyalur
TN-63,Sivagangai
TN-64,Madurai
TN-65,Ramanathapuram
TN-66,Coimbatore
TN-67,Virudhunagar
TN-68,Kumbakonam
TN-69,Tuticorin
TN-70,Hosur
TN-72,Tirunelveli /Valliyur
TN-73,Ranipet /Arakkonam
TN-74,Nagercoil
TN-75,Marthandam
TN-76,Tenkasi /Ambasamudram
TN-77,Attur /Vazhapadi
TN-78,Dharapuram /Udumalpet
TN-79,Sankarankovil
TN-81,Tiruchirapalli
TN-88,Namakkal South /Paramathi Vellore
TR-01,Agartala
TR-02,Kailashahar
TR-03,Udaipura
TR-04,Dharamanagar
TR-05,Ambassa
UK-01,Almora
UK-02,Bageshwar
UK-03,Champawat
UK-04,Nainital
UK-05,Pithoragarh
UK-06,UdhamSinghNagar
UK-07,Dehra Dun
UK-08,Haridwar
UK-09,Tehri
UK-10,Uttarkashi
UK-11,Chamoli
UK-12,Pauri
UK-13,Rudraprayag
UA-01,Almora
UA-02,Bageshwar
UA-03,Champawat
UA-04,Nainital
UA-05,Pithoragarh
UA-06,UdhamSinghNagar
UA-07,Dehra Dun
UA-08,Haridwar
UA-09,Tehri
UA-10,Uttarkashi
UA-11,Chamoli
UA-12,Pauri
UA-13,Rudraprayag
UP-21,Moradabad
UP-22,Rampur
UP-23,JyotibaPhuleNagar
UP-24,Badaun
UP-25,Bareilly
UP-26,Pilibhit
UP-2,Shahjahanpur
UP-28,Ayodhya
UP-30,Hardoi
UP-31,Kheri
UP-32,Lucknow
UP-33,Raebareli
UP-3,Sitapur
UP-35,Unnao
UP-37,Hapur
UP-40,Bahraich
UP-41,Barabanki
UP-42,Faizabad
UP-43,Gonda
UP-44,Sultanpur
UP-45,Ambedkarnagar
UP-46,Shrawasti
UP-47,Balrampur
UP-50,Azamgarh
UP-51,Basti
UP-52,Deoria
UP-53,Gorakhpur
UP-54,Mau
UP-55,Siddharthnagar
UP-56,Mahrajganj
UP-57,Padrauna
UP-58,SantKabirNagar
UP-60,Ballia
UP-61,Ghazipur
UP-62,Jaunpur
UP-63,Mirzapur
UP-66,Bhadohi
UP-67,Chandauli
UP-70,Allahabad
UP-71,Fatehpur
UP-72,Pratapgarh
UP-73,Kaushambi
UP-74,Kannauj
UP-75,Etawah
UP-76,Farrukhabad
UP-77,Kanpur 
UP-78,Kanpur
UP-79,Auraiya
UP-80,Agra
UP-81,Aligarh
UP-82,Etah
UP-83,Firozabad
UP-84,Mainpuri
UP-85,Mathura
UP-86,Mahamaya
UP-87,Kanshiram
UP-90,Banda
UP-91,Hamirpur
UP-92,Jalaun
UP-93,Jhansi
UP-94,Lalitpur
UP-95,Mahoba
UP-96,Chitrakoot 
WB-01,Kolkata 
WB-02,Kolkata 
WB-03,Kolkata 
WB-04,Kolkata 
WB-05,Kolkata 
WB-06,Kolkata 
WB-07,Kolkata 
WB-08,Kolkata
WB-09,Kolkata 
WB-10,Kolkata 
WB-11,Howrah 
WB-12,Howrah
WB-13,Howrah 
WB-14,Howrah
WB-15,Hooghly 
WB-16,Hooghly
WB-17,Hooghly
WB-18,Hooghly 
WB-19,"South 24 Parganas, Alipore (transport vehicles)"
WB-20,"South 24 Parganas, Alipore (other than transport vehicles)"
WB-21,"South 24 Parganas, Alipore (* to be used *)"
WB-22,"South 24 Parganas, Alipore (other than transport vehicles)"
WB-23,Barrackpore
WB-24,Barrackpore
WB-25,Barasat
WB-26,Barasat
WB-29,Tamluk
WB-30,Tamluk
WB-31,Contai
WB-32,Contai
WB-33,Midnapur
WB-34,Midnapur
WB-37,Asansol
WB-38,Asansol
WB-39,Durgapur
WB-40,Durgapur
WB-41,Burdwan
WB-42,Burdwan
WB-44,Asansol
WB-51,Nadia
WB-52,Nadia
WB-53,Birbhum
WB-54,Birbhum
WB-55,Purulia
WB-56,Purulia
WB-57,Murshidabad
WB-58,Murshidabad
WB-59,Raiganj
WB-60,Raiganj
WB-61,Balurghat
WB-62,Balurghat
WB-63,Cooch Behar
WB-64,Cooch Behar
WB-65,Malda
WB-66,Malda
WB-67,Bankura
WB-68,Bankura
WB-69,Alipurduar
WB-70,Alipurduar
WB-71,Jalpaiguri
WB-72,Jalpaiguri
WB-73,Siliguri
WB-74,Siliguri
WB-76,Darjeeling
WB-77,Darjeeling
WB-78,Kalimpong
WB-79,Kalimpong
WB-89,Kalyani
WB-90,Kalyani
